date,time,flight_no,airline,status,destination,terminal,aisle,gate,status_time,cal_time,delta
2023-09-01,07:05,UO 850,HKE,Dep 07:06,KIX,T1,H,33,2023-09-01 07:06:00,2023-09-01 07:05:00,1.0
2023-09-01,07:15,HX 676,CRK,Dep 07:12,OKA,T1,K,17,2023-09-01 07:12:00,2023-09-01 07:15:00,-3.0
2023-09-01,07:15,UO 618,HKE,Dep 07:28,ICN,T1,H,50,2023-09-01 07:28:00,2023-09-01 07:15:00,13.0
2023-09-01,07:20,CX 366,CPA,Dep 07:29,PVG,T1,A,63,2023-09-01 07:29:00,2023-09-01 07:20:00,9.0
2023-09-01,07:20,CX 907,CPA,Dep 07:19,MNL,T1,BC,19,2023-09-01 07:19:00,2023-09-01 07:20:00,-1.0
2023-09-01,07:25,HX 771,CRK,Dep 07:36,BKK,T1,K,16,2023-09-01 07:36:00,2023-09-01 07:25:00,11.0
2023-09-01,07:35,UO 600,HKE,Dep 07:31,FUK,T1,H,24,2023-09-01 07:31:00,2023-09-01 07:35:00,-4.0
2023-09-01,07:40,CI 922,CAL,Dep 07:42,TPE,T1,F,65,2023-09-01 07:42:00,2023-09-01 07:40:00,2.0
2023-09-01,07:45,UO 550,HKE,Dep 07:48,HAN,T1,H,18,2023-09-01 07:48:00,2023-09-01 07:45:00,3.0
2023-09-01,07:50,CX 958,CPA,Dep 08:05,HGH,T1,A,1,2023-09-01 08:05:00,2023-09-01 07:50:00,15.0
2023-09-01,07:55,CX 434,CPA,Dep 08:38,ICN,T1,C,7,2023-09-01 08:38:00,2023-09-01 07:55:00,43.0
2023-09-01,07:55,CX 982,CPA,Dep 07:54,CAN,T1,A,48,2023-09-01 07:54:00,2023-09-01 07:55:00,-1.0
2023-09-01,08:00,CX 257,CPA,Dep 08:15,LHR,T1,BC,61,2023-09-01 08:15:00,2023-09-01 08:00:00,15.0
2023-09-01,08:00,CX 488,CPA,Dep 08:28,TPE,T1,C,30,2023-09-01 08:28:00,2023-09-01 08:00:00,28.0
2023-09-01,08:00,CX 691,CPA,Dep 08:22,SIN,T1,C,43,2023-09-01 08:22:00,2023-09-01 08:00:00,22.0
2023-09-01,08:00,UO 130,HKE,Dep 08:02,KHH,T1,H,520,2023-09-01 08:02:00,2023-09-01 08:00:00,2.0
2023-09-01,08:10,CX 526,CPA,Dep 08:57,NRT,T1,A,28,2023-09-01 08:57:00,2023-09-01 08:10:00,47.0
2023-09-01,08:10,CX 564,CPA,Dep 08:50,"TPE, KIX",T1,C,31,2023-09-01 08:50:00,2023-09-01 08:10:00,40.0
2023-09-01,08:10,CX 596,CPA,Dep 08:19,KIX,T1,A,25,2023-09-01 08:19:00,2023-09-01 08:10:00,9.0
2023-09-01,08:10,UO 704,HKE,Dep 08:15,BKK,T1,H,49,2023-09-01 08:15:00,2023-09-01 08:10:00,5.0
2023-09-01,08:15,HX 236,CRK,Dep 08:17,PVG,T1,K,523,2023-09-01 08:17:00,2023-09-01 08:15:00,2.0
2023-09-01,08:15,CX 723,CPA,Dep 09:33,KUL,T1,E,42,2023-09-01 09:33:00,2023-09-01 08:15:00,78.0
2023-09-01,08:20,CX 633,CPA,Dep 08:52,PEN,T1,E,68,2023-09-01 08:52:00,2023-09-01 08:20:00,32.0
2023-09-01,08:25,HB 681,HGB,Dep 08:30,BKK,T1,D,14,2023-09-01 08:30:00,2023-09-01 08:25:00,5.0
2023-09-01,08:30,CA 118,CCA,Dep 08:29,PEK,T1,J,521,2023-09-01 08:29:00,2023-09-01 08:30:00,-1.0
2023-09-01,08:30,HX 690,CRK,Dep 08:38,CTS,T1,K,23,2023-09-01 08:38:00,2023-09-01 08:30:00,8.0
2023-09-01,08:30,CX 771,CPA,Dep 09:19,HKT,T1,E,41,2023-09-01 09:19:00,2023-09-01 08:30:00,49.0
2023-09-01,08:35,CX 741,CPA,Dep 09:16,HAN,T1,C,15,2023-09-01 09:16:00,2023-09-01 08:35:00,41.0
2023-09-01,08:35,CX 767,CPA,Dep 09:56,SGN,T1,C,63,2023-09-01 09:56:00,2023-09-01 08:35:00,81.0
2023-09-01,08:45,CX 548,CPA,Dep 09:18,HND,T1,A,50,2023-09-01 09:18:00,2023-09-01 08:45:00,33.0
2023-09-01,08:45,UO 686,HKE,Dep 08:51,KIX,T1,H,60,2023-09-01 08:51:00,2023-09-01 08:45:00,6.0
2023-09-01,08:50,CX 384,CPA,Dep 09:37,WNZ,T1,A,20,2023-09-01 09:37:00,2023-09-01 08:50:00,47.0
2023-09-01,08:50,CX 432,CPA,Dep 10:23,KHH,T1,C,65,2023-09-01 10:23:00,2023-09-01 08:50:00,93.0
2023-09-01,08:55,HX 608,CRK,Dep 09:56,NRT,T1,K,67,2023-09-01 09:56:00,2023-09-01 08:55:00,61.0
2023-09-01,09:00,GA 873,GIA,Dep 10:57,CGK,T1,J,40,2023-09-01 10:57:00,2023-09-01 09:00:00,117.0
2023-09-01,09:00,CX 390,CPA,Dep 09:59,PEK,T1,A,3,2023-09-01 09:59:00,2023-09-01 09:00:00,59.0
2023-09-01,09:00,CX 901,CPA,Dep 10:09,MNL,T1,C,45,2023-09-01 10:09:00,2023-09-01 09:00:00,69.0
2023-09-01,09:05,SQ 899,SIA,Dep 09:26,SIN,T1,F,6,2023-09-01 09:26:00,2023-09-01 09:05:00,21.0
2023-09-01,09:05,CX 504,CPA,Dep 09:30,NRT,T1,A,35,2023-09-01 09:30:00,2023-09-01 09:05:00,25.0
2023-09-01,09:05,CX 830,CPA,Dep 09:48,JFK,T1,E,71,2023-09-01 09:48:00,2023-09-01 09:05:00,43.0
2023-09-01,09:05,CX 924,CPA,Dep 09:32,WUH,T1,A,44,2023-09-01 09:32:00,2023-09-01 09:05:00,27.0
2023-09-01,09:10,CX 139,CPA,Dep 10:10,SYD,T1,E,66,2023-09-01 10:10:00,2023-09-01 09:10:00,60.0
2023-09-01,09:15,CX 777,CPA,Dep 09:58,CGK,T1,C,34,2023-09-01 09:58:00,2023-09-01 09:15:00,43.0
2023-09-01,09:15,UO 848,HKE,Dep 09:30,NRT,T1,H,21,2023-09-01 09:30:00,2023-09-01 09:15:00,15.0
2023-09-01,09:15,HB 540,HGB,Dep 09:13,KIX,T1,D,522,2023-09-01 09:13:00,2023-09-01 09:15:00,-2.0
2023-09-01,09:20,CX 368,CPA,Dep 10:23,PVG,T1,A,62,2023-09-01 10:23:00,2023-09-01 09:20:00,63.0
2023-09-01,09:20,CX 410,CPA,Dep 10:11,ICN,T1,C,46,2023-09-01 10:11:00,2023-09-01 09:20:00,51.0
2023-09-01,09:20,HB 530,HGB,Dep 09:21,NRT,T1,D,520,2023-09-01 09:21:00,2023-09-01 09:20:00,1.0
2023-09-01,09:25,5J 273,CEB,Dep 09:49,MNL,T1,L,30,2023-09-01 09:49:00,2023-09-01 09:25:00,24.0
2023-09-01,09:30,CX 348,CPA,Dep 10:57,SHA,T1,A,27,2023-09-01 10:57:00,2023-09-01 09:30:00,87.0
2023-09-01,09:30,HX 664,CRK,Dep 09:45,NGO,T1,K,521,2023-09-01 09:45:00,2023-09-01 09:30:00,15.0
2023-09-01,09:30,CX 755,CPA,Dep 10:25,BKK,T1,E,36,2023-09-01 10:25:00,2023-09-01 09:30:00,55.0
2023-09-01,09:30,NH 812,ANA,Dep 10:08,NRT,T1,E,11,2023-09-01 10:08:00,2023-09-01 09:30:00,38.0
2023-09-01,09:40,HX 252,CRK,Dep 09:43,TPE,T1,K,523,2023-09-01 09:43:00,2023-09-01 09:40:00,3.0
2023-09-01,09:40,5J 241,CEB,Dep 10:22,CEB,T1,L,25,2023-09-01 10:22:00,2023-09-01 09:40:00,42.0
2023-09-01,09:50,BR 892,EVA,Dep 10:52,TPE,T1,E,43,2023-09-01 10:52:00,2023-09-01 09:50:00,62.0
2023-09-01,09:50,CX 450,CPA,Dep 11:34,"TPE, NRT",T1,C,69,2023-09-01 11:34:00,2023-09-01 09:50:00,104.0
2023-09-01,09:55,HX 398,CRK,Dep 10:09,PKX,T1,K,513,2023-09-01 10:09:00,2023-09-01 09:55:00,14.0
2023-09-01,10:00,CX 785,CPA,Dep 13:29,DPS,T1,E,46,2023-09-01 13:29:00,2023-09-01 10:00:00,209.0
2023-09-01,10:00,CX 986,CPA,Dep 11:45,TFU,T1,A,28,2023-09-01 11:45:00,2023-09-01 10:00:00,105.0
2023-09-01,10:10,CX 536,CPA,Dep 10:41,NGO,T1,A,48,2023-09-01 10:41:00,2023-09-01 10:10:00,31.0
2023-09-01,10:15,CX 954,CPA,Dep 12:20,TAO,T1,A,7,2023-09-01 12:20:00,2023-09-01 10:15:00,125.0
2023-09-01,10:20,CX 506,CPA,Dep 11:24,KIX,T1,A,49,2023-09-01 11:24:00,2023-09-01 10:20:00,64.0
2023-09-01,10:25,SQ 875,SIA,Dep 10:54,SIN,T1,F,6,2023-09-01 10:54:00,2023-09-01 10:25:00,29.0
2023-09-01,10:25,CX 356,CPA,Dep 11:29,NKG,T1,A,19,2023-09-01 11:29:00,2023-09-01 10:25:00,64.0
2023-09-01,10:25,HX 640,CRK,Dep 10:35,FUK,T1,K,511,2023-09-01 10:35:00,2023-09-01 10:25:00,10.0
2023-09-01,10:30,CX 520,CPA,Dep 12:33,NRT,T1,A,61,2023-09-01 12:33:00,2023-09-01 10:30:00,123.0
2023-09-01,10:35,UO 870,HKE,Dep 10:26,NRT,T1,H,10,2023-09-01 10:26:00,2023-09-01 10:35:00,-9.0
2023-09-01,10:40,JL 736,JAL,Dep 10:44,NRT,T1,G,31,2023-09-01 10:44:00,2023-09-01 10:40:00,4.0
2023-09-01,10:45,CX 239,CPA,Dep 11:44,LHR,T1,C,33,2023-09-01 11:44:00,2023-09-01 10:45:00,59.0
2023-09-01,10:45,CX 828,CPA,Dep 11:22,YYZ,T1,C,2,2023-09-01 11:22:00,2023-09-01 10:45:00,37.0
2023-09-01,11:00,CX 588,CPA,Dep 13:31,FUK,T1,A,50,2023-09-01 13:31:00,2023-09-01 11:00:00,151.0
2023-09-01,11:05,CI 904,CAL,Dep 11:14,TPE,T1,F,35,2023-09-01 11:14:00,2023-09-01 11:05:00,9.0
2023-09-01,11:05,CI 932,CAL,Dep 11:09,KHH,T1,F,68,2023-09-01 11:09:00,2023-09-01 11:05:00,4.0
2023-09-01,11:05,CX 946,CPA,Dep 13:18,XIY,T1,A,15,2023-09-01 13:18:00,2023-09-01 11:05:00,133.0
2023-09-01,11:10,CX 2635,CPA,Dep 11:46,SIN,T1,C,60,2023-09-01 11:46:00,2023-09-01 11:10:00,36.0
2023-09-01,11:15,CX 163,CPA,Dep 12:02,MEL,T1,C,8,2023-09-01 12:02:00,2023-09-01 11:15:00,47.0
2023-09-01,11:15,UA 862,UAL,Dep 11:24,SFO,T1,G,5,2023-09-01 11:24:00,2023-09-01 11:15:00,9.0
2023-09-01,11:30,HX 107,CRK,Dep 11:29,HAK,T1,K,34,2023-09-01 11:29:00,2023-09-01 11:30:00,-1.0
2023-09-01,11:30,HX 618,CRK,Dep 11:30,KIX,T1,K,522,2023-09-01 11:30:00,2023-09-01 11:30:00,0.0
2023-09-01,11:30,CX 2717,CPA,Dep 12:08,SIN,T1,C,42,2023-09-01 12:08:00,2023-09-01 11:30:00,38.0
2023-09-01,11:35,UO 690,HKE,Dep 11:35,NGO,T1,H,45,2023-09-01 11:35:00,2023-09-01 11:35:00,0.0
2023-09-01,11:40,CX 370,CPA,Dep 11:49,PVG,T1,A,20,2023-09-01 11:49:00,2023-09-01 11:40:00,9.0
2023-09-01,11:50,HO 1302,DKH,Dep 11:45,PVG,T1,K,66,2023-09-01 11:45:00,2023-09-01 11:50:00,-5.0
2023-09-01,12:00,SQ 893,SIA,Dep 12:01,SIN,T1,F,23,2023-09-01 12:01:00,2023-09-01 12:00:00,1.0
2023-09-01,12:00,CX 332,CPA,Dep 13:19,PEK,T1,A,44,2023-09-01 13:19:00,2023-09-01 12:00:00,79.0
2023-09-01,12:05,OM 298,MGL,Dep 12:13,UBN,T1,G,25,2023-09-01 12:13:00,2023-09-01 12:05:00,8.0
2023-09-01,12:10,7C 2104,JJA,Dep 12:29,ICN,T1,E,10,2023-09-01 12:29:00,2023-09-01 12:10:00,19.0
2023-09-01,12:15,KE 172,KAL,Dep 12:12,ICN,T1,G,30,2023-09-01 12:12:00,2023-09-01 12:15:00,-3.0
2023-09-01,12:25,CI 910,CAL,Dep 13:03,TPE,T1,F,6,2023-09-01 13:03:00,2023-09-01 12:25:00,38.0
2023-09-01,12:35,HX 775,CRK,Dep 12:35,BKK,T1,K,16,2023-09-01 12:35:00,2023-09-01 12:35:00,0.0
2023-09-01,12:40,CX 884,CPA,Dep 12:59,LAX,T1,A,41,2023-09-01 12:59:00,2023-09-01 12:40:00,19.0
2023-09-01,12:45,OZ 722,AAR,Dep 13:00,ICN,T1,E,40,2023-09-01 13:00:00,2023-09-01 12:45:00,15.0
2023-09-01,12:45,TG 601,THA,Dep 13:27,BKK,T1,H,5,2023-09-01 13:27:00,2023-09-01 12:45:00,42.0
2023-09-01,13:10,HX 246,CRK,Dep 12:59,PVG,T1,K,21,2023-09-01 12:59:00,2023-09-01 13:10:00,-11.0
2023-09-01,13:10,CX 253,CPA,Dep 13:30,LHR,T1,C,26,2023-09-01 13:30:00,2023-09-01 13:10:00,20.0
2023-09-01,13:20,9C 8716,CQH,Dep 13:11,PVG,T1,F,48,2023-09-01 13:11:00,2023-09-01 13:20:00,-9.0
2023-09-01,13:40,CX 360,CPA,Dep 14:31,PVG,T1,A,36,2023-09-01 14:31:00,2023-09-01 13:40:00,51.0
2023-09-01,14:00,TW 9118,TWB,Dep 14:39,ICN,T1,G,6,2023-09-01 14:39:00,2023-09-01 14:00:00,39.0
2023-09-01,14:00,CX 392,CPA,Dep 14:21,PEK,T1,A,43,2023-09-01 14:21:00,2023-09-01 14:00:00,21.0
2023-09-01,14:05,HX 612,CRK,Dep 13:50,KIX,T1,K,11,2023-09-01 13:50:00,2023-09-01 14:05:00,-15.0
2023-09-01,14:10,CX 779,CPA,Dep 14:25,SUB,T1,A,65,2023-09-01 14:25:00,2023-09-01 14:10:00,15.0
2023-09-01,14:30,HX 312,CRK,Dep 14:22,PEK,T1,K,8,2023-09-01 14:22:00,2023-09-01 14:30:00,-8.0
2023-09-01,14:55,BI 636,RBA,Dep 14:37,BWN,T1,D,10,2023-09-01 14:37:00,2023-09-01 14:55:00,-18.0
2023-09-01,15:15,JL 026D,JAL,Dep 16:09 (02/09/2023),HND,T1,G,26,2023-09-02 16:09:00,2023-09-01 15:15:00,1494.0
2023-09-01,16:15,CX 840,CPA,Dep 14:59,JFK,T1,A,35,2023-09-01 14:59:00,2023-09-01 16:15:00,-76.0
2023-09-01,19:30,QF 128D,QFA,Dep 22:18 (02/09/2023),SYD,T1,J,11,2023-09-02 22:18:00,2023-09-01 19:30:00,1608.0
2023-09-01,22:40,ET 609,ETH,Dep 23:21 (02/09/2023),"BKK, ADD",T1,D,35,2023-09-02 23:21:00,2023-09-01 22:40:00,1481.0
2023-09-01,22:55,CX 255,CPA,Dep 12:25 (02/09/2023),LHR,T1,C,26,2023-09-02 12:25:00,2023-09-01 22:55:00,810.0
2023-09-02,02:00,CX 844,CPA,Dep 17:09,JFK,T1,C,9,2023-09-02 17:09:00,2023-09-02 02:00:00,909.0
2023-09-02,07:50,CX 958,CPA,Dep 12:20,HGH,T1,D,15,2023-09-02 12:20:00,2023-09-02 07:50:00,270.0
2023-09-02,08:00,SQ 001,SIA,Dep 17:49,SIN,T1,F,24,2023-09-02 17:49:00,2023-09-02 08:00:00,589.0
2023-09-02,08:10,CX 564,CPA,Dep 12:42,"TPE, KIX",T1,C,31,2023-09-02 12:42:00,2023-09-02 08:10:00,272.0
2023-09-02,08:10,CX 596,CPA,Dep 12:56,KIX,T1,D,29,2023-09-02 12:56:00,2023-09-02 08:10:00,286.0
2023-09-02,08:15,HX 628,CRK,Dep 12:56,ICN,T1,K,68,2023-09-02 12:56:00,2023-09-02 08:15:00,281.0
2023-09-02,08:50,CX 432,CPA,Dep 13:10,KHH,T1,C,61,2023-09-02 13:10:00,2023-09-02 08:50:00,260.0
2023-09-02,09:10,CX 139,CPA,Dep 11:14,SYD,T1,C,5,2023-09-02 11:14:00,2023-09-02 09:10:00,124.0
2023-09-02,09:20,CX 368,CPA,Dep 12:15,PVG,T1,D,6,2023-09-02 12:15:00,2023-09-02 09:20:00,175.0
2023-09-02,09:30,HX 664,CRK,Dep 14:25,NGO,T1,K,18,2023-09-02 14:25:00,2023-09-02 09:30:00,295.0
2023-09-02,09:30,CX 755,CPA,Dep 13:21,BKK,T1,C,42,2023-09-02 13:21:00,2023-09-02 09:30:00,231.0
2023-09-02,09:40,HX 252,CRK,Dep 13:44,TPE,T1,K,69,2023-09-02 13:44:00,2023-09-02 09:40:00,244.0
2023-09-02,10:00,CX 986,CPA,Dep 13:15,TFU,T1,D,47,2023-09-02 13:15:00,2023-09-02 10:00:00,195.0
2023-09-02,10:20,CX 494,CPA,Dep 13:44,TPE,T1,C,9,2023-09-02 13:44:00,2023-09-02 10:20:00,204.0
2023-09-02,10:20,CX 506,CPA,Dep 13:32,KIX,T1,D,25,2023-09-02 13:32:00,2023-09-02 10:20:00,192.0
2023-09-02,10:25,HX 640,CRK,Dep 14:51,FUK,T1,K,29,2023-09-02 14:51:00,2023-09-02 10:25:00,266.0
2023-09-02,10:30,CX 520,CPA,Dep 12:22,NRT,T1,D,7,2023-09-02 12:22:00,2023-09-02 10:30:00,112.0
2023-09-02,10:45,CX 239,CPA,Dep 13:23,LHR,T1,C,36,2023-09-02 13:23:00,2023-09-02 10:45:00,158.0
2023-09-02,10:45,FD 516D,AIQ,Dep 04:48 (03/09/2023),CNX,T1,L,33,2023-09-03 04:48:00,2023-09-02 10:45:00,1083.0
2023-09-02,10:50,UO 620,HKE,Dep 15:14,FUK,T1,H,520,2023-09-02 15:14:00,2023-09-02 10:50:00,264.0
2023-09-02,10:55,UO 110,HKE,Dep 14:19,TPE,T1,H,48,2023-09-02 14:19:00,2023-09-02 10:55:00,204.0
2023-09-02,11:00,CX 588,CPA,Dep 12:16,FUK,T1,D,33,2023-09-02 12:16:00,2023-09-02 11:00:00,76.0
2023-09-02,11:00,UO 172,HKE,Dep 14:12,RMQ,T1,H,17,2023-09-02 14:12:00,2023-09-02 11:00:00,192.0
2023-09-02,11:05,TR 981,TGW,Dep 20:34,SIN,T1,F,31,2023-09-02 20:34:00,2023-09-02 11:05:00,569.0
2023-09-02,11:05,CI 904,CAL,Dep 13:07,TPE,T1,F,30,2023-09-02 13:07:00,2023-09-02 11:05:00,122.0
2023-09-02,11:10,FD 509,AIQ,Dep 00:42 (03/09/2023),DMK,T1,L,26,2023-09-03 00:42:00,2023-09-02 11:10:00,812.0
2023-09-02,11:15,CX 163,CPA,Dep 12:36,MEL,T1,C,23,2023-09-02 12:36:00,2023-09-02 11:15:00,81.0
2023-09-02,11:15,HX 658,CRK,Dep 13:29,OKA,T1,K,16,2023-09-02 13:29:00,2023-09-02 11:15:00,134.0
2023-09-02,11:15,AK 2280,AXM,Dep 03:05 (03/09/2023),PEN,T1,L,10,2023-09-03 03:05:00,2023-09-02 11:15:00,950.0
2023-09-02,11:15,CX 2635,CPA,Dep 14:14,SIN,T1,C,41,2023-09-02 14:14:00,2023-09-02 11:15:00,179.0
2023-09-02,11:20,HX 161,CRK,Dep 16:20,SYX,T1,K,15,2023-09-02 16:20:00,2023-09-02 11:20:00,300.0
2023-09-02,11:30,HX 618,CRK,Dep 16:21,KIX,T1,K,36,2023-09-02 16:21:00,2023-09-02 11:30:00,291.0
2023-09-02,11:30,UO 674,HKE,Dep 14:04,PUS,T1,H,43,2023-09-02 14:04:00,2023-09-02 11:30:00,154.0
2023-09-02,11:40,CX 370,CPA,Dep 12:00,PVG,T1,D,20,2023-09-02 12:00:00,2023-09-02 11:40:00,20.0
2023-09-02,12:00,CX 332,CPA,Dep 12:28,PEK,T1,D,11,2023-09-02 12:28:00,2023-09-02 12:00:00,28.0
2023-09-02,12:10,7C 2104,JJA,Dep 16:26,ICN,T1,E,10,2023-09-02 16:26:00,2023-09-02 12:10:00,256.0
2023-09-02,12:15,CX 960,CPA,Dep 12:18,HGH,T1,D,1,2023-09-02 12:18:00,2023-09-02 12:15:00,3.0
2023-09-02,12:15,KE 172,KAL,Dep 18:21,ICN,T1,G,27,2023-09-02 18:21:00,2023-09-02 12:15:00,366.0
2023-09-02,12:25,SQ 875,SIA,Dep 14:00,SIN,T1,F,26,2023-09-02 14:00:00,2023-09-02 12:25:00,95.0
2023-09-02,12:25,UO 112,HKE,Dep 15:06,TPE,T1,H,521,2023-09-02 15:06:00,2023-09-02 12:25:00,161.0
2023-09-02,12:35,UO 638,HKE,Dep 14:03,FUK,T1,H,50,2023-09-02 14:03:00,2023-09-02 12:35:00,88.0
2023-09-02,12:45,OZ 722,AAR,Dep 16:18,ICN,T1,E,6,2023-09-02 16:18:00,2023-09-02 12:45:00,213.0
2023-09-02,12:45,CX 725,CPA,Dep 12:46,KUL,T1,D,3,2023-09-02 12:46:00,2023-09-02 12:45:00,1.0
2023-09-02,12:45,UO 132,HKE,Dep 14:10,KHH,T1,H,21,2023-09-02 14:10:00,2023-09-02 12:45:00,85.0
2023-09-02,12:45,TG 601,THA,Dep 13:05,BKK,T1,H,44,2023-09-02 13:05:00,2023-09-02 12:45:00,20.0
2023-09-02,13:10,CX 157,CPA,Dep 13:39,BNE,T1,C,2,2023-09-02 13:39:00,2023-09-02 13:10:00,29.0
2023-09-02,13:10,CX 253,CPA,Dep 13:14,LHR,T1,C,63,2023-09-02 13:14:00,2023-09-02 13:10:00,4.0
2023-09-02,13:25,UO 700,HKE,Dep 14:01,BKK,T1,H,46,2023-09-02 14:01:00,2023-09-02 13:25:00,36.0
2023-09-02,13:35,CX 928,CPA,Dep 13:48,CKG,T1,D,10,2023-09-02 13:48:00,2023-09-02 13:35:00,13.0
2023-09-02,13:40,CX 360,CPA,Dep 14:10,PVG,T1,D,34,2023-09-02 14:10:00,2023-09-02 13:40:00,30.0
2023-09-02,13:50,CZ 310,CSN,Dep 17:18,PKX,T1,J,7,2023-09-02 17:18:00,2023-09-02 13:50:00,208.0
2023-09-02,13:55,CI 910,CAL,Dep 14:33,TPE,T1,F,33,2023-09-02 14:33:00,2023-09-02 13:55:00,38.0
2023-09-02,14:00,TW 9118,TWB,Dep 16:02,ICN,T1,G,40,2023-09-02 16:02:00,2023-09-02 14:00:00,122.0
2023-09-02,14:00,CX 392,CPA,Dep 14:20,PEK,T1,D,40,2023-09-02 14:20:00,2023-09-02 14:00:00,20.0
2023-09-02,14:00,UO 650,HKE,Dep 14:38,NRT,T1,H,522,2023-09-02 14:38:00,2023-09-02 14:00:00,38.0
2023-09-02,14:05,CX 919,CPA,Dep 15:53,MNL,T1,D,8,2023-09-02 15:53:00,2023-09-02 14:05:00,108.0
2023-09-02,14:10,CX 779,CPA,Dep 15:07,SUB,T1,D,70,2023-09-02 15:07:00,2023-09-02 14:10:00,57.0
2023-09-02,14:20,HX 216,CRK,Dep 14:57,NKG,T1,K,42,2023-09-02 14:57:00,2023-09-02 14:20:00,37.0
2023-09-02,14:25,SQ 883,SIA,Dep 15:39,SIN,T1,F,28,2023-09-02 15:39:00,2023-09-02 14:25:00,74.0
2023-09-02,14:25,CX 418,CPA,Dep 16:45,ICN,T1,C,69,2023-09-02 16:45:00,2023-09-02 14:25:00,140.0
2023-09-02,14:25,CX 751,CPA,Dep 16:36,BKK,T1,C,60,2023-09-02 16:36:00,2023-09-02 14:25:00,131.0
2023-09-02,14:30,VN 593,HVN,Dep 15:00,HAN,T1,D,6,2023-09-02 15:00:00,2023-09-02 14:30:00,30.0
2023-09-02,14:35,HX 612,CRK,Dep 16:59,KIX,T1,K,17,2023-09-02 16:59:00,2023-09-02 14:35:00,144.0
2023-09-02,14:45,UO 114,HKE,Dep 16:09,TPE,T1,H,523,2023-09-02 16:09:00,2023-09-02 14:45:00,84.0
2023-09-02,14:55,CX 171,CPA,Dep 15:22,PER,T1,C,62,2023-09-02 15:22:00,2023-09-02 14:55:00,27.0
2023-09-02,14:55,UO 688,HKE,Dep 14:55,KIX,T1,H,14,2023-09-02 14:55:00,2023-09-02 14:55:00,0.0
2023-09-02,15:00,CX 380,CPA,Dep 15:15,PVG,T1,D,67,2023-09-02 15:15:00,2023-09-02 15:00:00,15.0
2023-09-02,15:00,HU 7954,CHH,Dep 16:46,XIY,T1,K,21,2023-09-02 16:46:00,2023-09-02 15:00:00,106.0
2023-09-02,15:05,NH 860,ANA,Dep 15:20,HND,T1,E,30,2023-09-02 15:20:00,2023-09-02 15:05:00,15.0
2023-09-02,15:10,CX 500,CPA,Dep 15:15,NRT,T1,D,64,2023-09-02 15:15:00,2023-09-02 15:10:00,5.0
2023-09-02,15:15,JL 026,JAL,Dep 15:15,HND,T1,G,7,2023-09-02 15:15:00,2023-09-02 15:15:00,0.0
2023-09-02,15:20,VN 595,HVN,Dep 15:53,SGN,T1,D,61,2023-09-02 15:53:00,2023-09-02 15:20:00,33.0
